DATA POINT NAME,Company Name,Site Name,Arrival Date,Stage,Line Item Name,Material,Sub-Material,Density (kg/m^3),Trade Provider,Trade Provider Address,Purchase Cost NZD,"Order Quantity (m3, lm, m, kg, m2)",Total Volume (m^3),Purchase Weight KG,% Excess,Created by Name,Created by Email,Site Address,Assumptions
Insufficient data,"Glover Homes Limited",Insufficient data,15/01/2025,Insufficient data,"100 X 50 (90x45) Rad Nst Ut Pg Kd",,,,"Glover Homes Limited","39 oceanview rd",3.09,537.6 LM,,,Insufficient data,Insufficient data,Insufficient data,Insufficient data
Insufficient data,"Glover Homes Limited",Insufficient data,15/01/2025,Insufficient data,"Chh Ecoply Rad F8/F8 Ut DD 12x2400x1200MM",,,,"Glover Homes Limited","39 oceanview rd",53.52,13 SH,,,Insufficient data,Insufficient data,Insufficient data,Insufficient data
Insufficient data,"Glover Homes Limited",Insufficient data,15/01/2025,Insufficient data,"Pm Batten Screw CL4 Galv 14G 100MM 500BX",,,,"Glover Homes Limited","39 oceanview rd",116.10,4 PA,,,Insufficient data,Insufficient data,Insufficient data,Insufficient data
Insufficient data,"Glover Homes Limited",Insufficient data,15/01/2025,Insufficient data,"Delfast Nail 90MM Bright 3X Fuel 3000PK",,,,"Glover Homes Limited","39 oceanview rd",116.40,3 EA,,,Insufficient data,Insufficient data,Insufficient data,Insufficient data
Insufficient data,"Glover Homes Limited",Insufficient data,15/01/2025,Insufficient data,"100 X 50 (90x45) Rad Nst Ut Pg Kd 28 @ 6.000 RANDOM",,,,"Glover Homes Limited","39 Oceanview rd",3.09,168 LM,,,Insufficient data,Insufficient data,Insufficient data,Insufficient data
Insufficient data,"Glover Homes Limited",Insufficient data,15/01/2025,Insufficient data,"Chh Ecoply Rad F8/F8 Ut DD 12x2400x1200MM",,,,"Glover Homes Limited","39 Oceanview rd",53.52,24 SH,,,Insufficient data,Insufficient data,Insufficient data,Insufficient data
Insufficient data,"Glover Homes Limited",Insufficient data,15/01/2025,Insufficient data,"Freo Annealed Tie Wire 300MM 1KG Bundle",,,,"Glover Homes Limited","39 Oceanview rd",9.48,20 BD,,,Insufficient data,Insufficient data,Insufficient data,Insufficient data
Insufficient data,"Glover Homes Limited",Insufficient data,15/01/2025,Insufficient data,"Freo Rebar D12 6M Deformed 300E 180411/TO",,,,"Glover Homes Limited","39 Oceanview rd",11.15,29 EA,,,Insufficient data,Insufficient data,Insufficient data,Insufficient data
Insufficient data,"Glover Homes Limited",Insufficient data,15/01/2025,Insufficient data,"Freo Rebar HD10 6M Deformed 500E 180411/TO",,,,"Glover Homes Limited","39 Oceanview rd",12.15,50 LN,,,Insufficient data,Insufficient data,Insufficient data,Insufficient data
Insufficient data,"Glover Homes Limited",Insufficient data,15/01/2025,Insufficient data,"Pack",,,,"Glover Homes Limited","39 Oceanview rd",0.00,2 EA,,,Insufficient data,Insufficient data,Insufficient data,Insufficient data
Insufficient data,"Glover Homes Limited",Insufficient data,15/01/2025,Insufficient data,"Other Package",,,,"Glover Homes Limited","39 Oceanview rd",0.00,1 EA,,,Insufficient data,Insufficient data,Insufficient data,Insufficient data
