,,,,,,,,,,,,,
,PURCHASE SCHEDULE (grouped by supplier),,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Project No:,,,1080,,,,,,,,
,,Project Name:,,,OW-023 Owairaka Block C (Construction),,,,,,,,
,,Project Manager:,,,Milosh Ristich,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Ord#,,Date,Code,,Description of Goods,Qty,Rate,,,Total,,Rcd
,Albany Heights Constructions,,,,,,,,,,,,
,11539,,08/03/24,4900,,As per Milosh email dated 07/03/24 install bracing and scrim to roadside fence @$65/hr 8 hours 2 men,0.25,520.00,,,130.00,,Y
,,,,,,,,,,,130.00,,
,Auckland Council,,,,,,,,,,,,
,10854,,28/11/23,3300,,BCO10376149 - BC deposit,1.00,"4,623.47",,,"4,623.47",,Y
,11678,,27/03/24,3300,,BCO10376235 - Lot 23 BC,1.00,"4,408.06",,,"4,408.06",,Y
,11679,,27/03/24,3300,,BCO10376149 - Block C - BC,1.00,"8,017.26",,,"8,017.26",,Y
,11681,,27/03/24,3300,,BCO10376231 - Lot 19 BC,1.00,"4,387.79",,,"4,387.79",,Y
,11682,,27/03/24,3300,,BCO10376232 - Lot 20 BC,1.00,"4,387.79",,,"4,387.79",,Y
,11683,,27/03/24,3300,,BCO10376234 - Lot 22 BC,1.00,"4,387.79",,,"4,387.79",,Y
,11684,,27/03/24,3300,,BCO10376233 - Lot 21 BC,1.00,"4,387.79",,,"4,387.79",,Y
,,,,,,,,,,,"34,599.95",,
,C&H Consulting Limited,,,,,,,,,,,,
,10060,,01/09/23,3240,,Foundation Design Options - Prelim Bracing Design,1.00,500.00,,,500.00,,Y
,10337,,02/10/23,3240,,Prelim Design/Options,1.00,"1,500.00",,,"1,500.00",,Y
,12356,,27/06/24,3240,,Foundation inspection 21-06-24 & travel,1.00,504.00,,,504.00,,Y
,10621,,31/10/23,3120,,Framing Design Bracing Design Foundation Design Post Fire and Wingwall Design Foundation Design Markups and Correspondence,1.00,"6,500.00",,,"6,500.00",,Y
,10896,,01/12/23,3300,,Bracing updates and Building Consent Documents,1.00,"2,000.00",,,"2,000.00",,Y
,10896,,01/12/23,3300,,Draft / Final Fire Report,1.00,"2,400.00",,,"2,400.00",,Y
,,,,,,,,,,,"13,404.00",,
,Carlton Electrical Limited,,,,,,,,,,,,
,11481,,01/03/24,3120,,design fee - 4 blocks with 24 units,0.25,"6,299.25",,,"1,574.81",,Y
,,,,,,,,,,,"1,574.81",,
,Carters Building Supplies Limited,,,,,,,,,,,,
,12229,,11/06/24,4910,,PRENAILED FRAMES LEVEL 1,1.00,"24,569.32",,,"24,569.32",,N
,12229,,11/06/24,4910,,PRENAILED FRAMES LEVEL 2,1.00,"31,748.40",,,"31,748.40",,N
,12229,,11/06/24,4910,,TRUSSES,1.00,"14,019.87",,,"14,019.87",,N
,12229,,11/06/24,4910,,PRECUT BALANCE OF ROOF,1.00,"1,435.84",,,"1,435.84",,N
,12229,,11/06/24,4910,,Manufacturing Alternative,1.00,"2,992.68",,,"2,992.68",,N
