,,,,,,,,
,PURCHASE SCHEDULE (grouped by supplier),,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Project No:,,,1082,,,
,,Project Name:,,,Morgan S2 Block 6 - Lots 14-21,,,
,,Project Manager:,,,Elliott Brinsden,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Ord#,,Date,Code,,Description of Goods,Qty,Rcd
,Affordable Scaffolding (2010),,,,,,,
,13202,,08/10/24,4101,,Flush Elite Toilet (PO est 40 wks),26.00,N
,13202,,08/10/24,4101,,Flush Elite Toilet (PO est 40 wks),26.00,N
,13202,,08/10/24,4101,,Flush Green Toilet 11/10/24-31/10/24,1.00,Y
,13202,,08/10/24,4101,,Flush Elite Toilet 11/10/24-31/10/24,1.00,Y
,13347,,31/10/24,4101,,Flush Elite Toilet (Est 35 wks),26.72,N
,13202,,08/10/24,4101,,Flush Green Toilet 01/11/24-05/11/24,0.72,Y
,13202,,08/10/24,4101,,Flush Elite Toilet 01/11/24-31/11/24,1.00,Y
,13202,,08/10/24,4101,,Flush Elite Toilet 01/11/24-05/11/24,3.57,Y
,13347,,31/10/24,4101,,Flush Elite Toilet 05/11-24-330/11/24 (FL377),3.72,Y
,13202,,08/10/24,4101,,Flush Elite Toilet 01/12/24-20/12/24 FL765 FL611,2.00,Y
,13347,,31/10/24,4101,,Flush Elite Toilet 01/12/24 - 20/12/24 (FL377),2.86,Y
,13347,,31/10/24,4101,,Flush Elite Toilet 13/01/25-31/01/25 (FL377),2.71,Y
,13202,,08/10/24,4101,,Flush Elite Toilet 13/01/25-31/01/25 FL765 FL611,2.00,Y
,,,,,,,,
,Amee Hedges,,,,,,,
,13019,,17/09/24,3120,,internal draughting,1.00,Y
,13028,,17/09/24,3120,,journal internal draughting to block level,1.00,Y
,13253,,16/10/24,3120,,internal draughting,1.00,Y
,13485,,19/11/24,3120,,internal draughting,1.00,Y
,13774,,10/01/25,3120,,internal draughting,1.00,Y
,13818,,16/01/25,3120,,internal draughting,1.00,Y
,14007,,17/02/25,3120,,internal draughitng,1.00,Y
,,,,,,,,
,Apex Recruitment Limited,,,,,,,
,13446,,12/11/24,4186,,Level 1 Labourer (level a),7.00,N
,13446,,12/11/24,4186,,***Level 2 Lab - Daniel Blaauw w/e 17/11,8.00,Y
,,,,,,,,
,Auckland Council,,,,,,,
,12670,,06/08/24,3120,,BCO10385701 - Master BC deposit for Lots 15-21,1.00,Y
,12893,,30/08/24,3300,,BCO10385701 - BC for Lot 14,1.00,Y
,12894,,30/08/24,3300,,BCO10385705 - BC for Lot 15,1.00,Y
,12895,,30/08/24,3300,,BCO10385706 - BC for Lot 16,1.00,Y
,12896,,30/08/24,3300,,BCO10385707 - BC for Lot 17,1.00,Y
,12898,,30/08/24,3300,,BCO10385708 - BC for Lot 18,1.00,Y
,12899,,30/08/24,3300,,BCO10385709 - BC for Lot 19,1.00,Y
,12900,,30/08/24,3300,,BCO10385750 - BC for Lot 20,1.00,Y
,12901,,30/08/24,3300,,BCO10385751 - BC for Lot 21,1.00,Y
,,,,,,,,
,Back-up Transport,,,,,,,
